Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
</s>,<s>,487,488,0.9979508196721312
<s>,Ya,52,488,0.10655737704918032
maestro.,</s>,37,37,1.0
ma.,</s>,22,22,1.0
en,la,16,61,0.26229508196721313
<s>,Que,16,488,0.03278688524590164
<s>,"No,",15,488,0.030737704918032786
<s>,"Jajaja,",15,488,0.030737704918032786
a,la,14,72,0.19444444444444445
<s>,"Claro,",14,488,0.028688524590163935
en,el,13,61,0.21311475409836064
<s>,Buenas,13,488,0.02663934426229508
<s>,Si,11,488,0.022540983606557378
<s>,Buenos,11,488,0.022540983606557378
que,se,10,97,0.10309278350515463
creo,que,10,13,0.7692307692307693
Buenos,"días,",10,11,0.9090909090909091
que,me,9,97,0.09278350515463918
a,las,9,72,0.125
Buenas,"tardes,",9,13,0.6923076923076923
"tardes,",maestro.,9,9,1.0
bien.,</s>,9,9,1.0
lo,que,8,31,0.25806451612903225
<s>,"Ok,",8,488,0.01639344262295082
Ale.,</s>,8,8,1.0
Que,"bien,",8,20,0.4
Ya,estoy,8,54,0.14814814814814814
"bien,",ma.,8,17,0.47058823529411764
<s>,"Hola,",7,488,0.014344262295081968
<s>,"Vale,",7,488,0.014344262295081968
en,su,7,61,0.11475409836065574
"Claro,",maestro.,7,14,0.5
se,la,7,31,0.22580645161290322
estoy,en,7,18,0.3888888888888889
el,profe,6,59,0.1016949152542373
y,el,6,60,0.1
<s>,Yo,6,488,0.012295081967213115
va,a,6,8,0.75
de,las,6,74,0.08108108108108109
profesor.,</s>,6,6,1.0
<s>,Como,6,488,0.012295081967213115
"días,",maestro.,6,10,0.6
bien,</s>,6,23,0.2608695652173913
<s>,Muy,6,488,0.012295081967213115
de,la,5,74,0.06756756756756757
voy,a,5,11,0.45454545454545453
<s>,Gracias,5,488,0.010245901639344262
<s>,Va,5,488,0.010245901639344262
<s>,Entonces,5,488,0.010245901639344262
<s>,Ok,5,488,0.010245901639344262
<s>,"Si,",5,488,0.010245901639344262
la,presentación,5,89,0.056179775280898875
<s>,Se,5,488,0.010245901639344262
<s>,"Gracias,",5,488,0.010245901639344262
<s>,También,5,488,0.010245901639344262
<s>,Estoy,5,488,0.010245901639344262
Que,bien,5,20,0.25
Ale,</s>,5,10,0.5
la,carpeta,4,89,0.0449438202247191
<s>,En,4,488,0.00819672131147541
<s>,Pero,4,488,0.00819672131147541
que,la,4,97,0.041237113402061855
es,que,4,25,0.16
no,se,4,25,0.16
<s>,Y,4,488,0.00819672131147541
muchas,gracias,4,10,0.4
<s>,Me,4,488,0.00819672131147541
para,que,4,28,0.14285714285714285
muchas,gracias.,4,10,0.4
gracias.,</s>,4,4,1.0
su,cubículo,4,17,0.23529411764705882
Como,ha,4,9,0.4444444444444444
ha,estado?,4,4,1.0
estado?,</s>,4,5,0.8
<s>,"Listo,",4,488,0.00819672131147541
van?,</s>,4,4,1.0
<s>,¿Como,4,488,0.00819672131147541
<s>,Pásenla,4,488,0.00819672131147541
Ya,voy,4,54,0.07407407407407407
que,bien,4,97,0.041237113402061855
estamos,en,4,7,0.5714285714285714
Ya,estamos,4,54,0.07407407407407407
bien,ma,4,23,0.17391304347826086
ma,</s>,4,10,0.4
<s>,Jajaja,4,488,0.00819672131147541
<s>,Está,3,488,0.006147540983606557
carpeta,de,3,5,0.6
que,el,3,97,0.030927835051546393
puso,en,3,3,1.0
la,misma,3,89,0.033707865168539325
Ya,me,3,54,0.05555555555555555
en,un,3,61,0.04918032786885246
Creo,que,3,3,1.0
que,lo,3,97,0.030927835051546393
<s>,Te,3,488,0.006147540983606557
<s>,Lo,3,488,0.006147540983606557
las,mismas,3,40,0.075
son,los,3,9,0.3333333333333333
<s>,Es,3,488,0.006147540983606557
<s>,Ah,3,488,0.006147540983606557
Emily,</s>,3,5,0.6
<s>,Quedo,3,488,0.006147540983606557
<s>,Con,3,488,0.006147540983606557
<s>,No,3,488,0.006147540983606557
<s>,Aquí,3,488,0.006147540983606557
"Ok,","profesor,",3,8,0.375
"profesor,",muchas,3,3,1.0
"días,",profesor.,3,10,0.3
<s>,"Disculpe,",3,488,0.006147540983606557
las,10?,3,40,0.075
10?,</s>,3,3,1.0
voy,para,3,11,0.2727272727272727
su,cubículo?,3,17,0.17647058823529413
cubículo?,</s>,3,3,1.0
profe.,</s>,3,3,1.0
subí,la,3,6,0.5
Ya,le,3,54,0.05555555555555555
le,subí,3,12,0.25
atento,a,3,3,1.0
a,sus,3,72,0.041666666666666664
y,los,3,60,0.05
Ya,están,3,54,0.05555555555555555
sin,problema,3,3,1.0
pero,creo,3,13,0.23076923076923078
<s>,"Oh,",3,488,0.006147540983606557
lo,puedo,3,31,0.0967741935483871
ir,a,3,4,0.75
"Listo,",maestro.,3,4,0.75
<s>,Igual,3,488,0.006147540983606557
que,ya,3,97,0.030927835051546393
Buenas,"noches,",3,13,0.23076923076923078
"noches,",maestro.,3,3,1.0
<s>,"Bien,",3,488,0.006147540983606557
ya,estoy,3,25,0.12
gracias,</s>,3,11,0.2727272727272727
fin,de,3,3,1.0
la,1,3,89,0.033707865168539325
vamos,a,3,5,0.6
este,semestre,3,7,0.42857142857142855
semestre,</s>,3,8,0.375
por,semestre,3,20,0.15
<s>,"Felicidades,",3,488,0.006147540983606557
¿Como,van?,3,5,0.6
<s>,¿Qué,3,488,0.006147540983606557
hotel.,</s>,3,3,1.0
Ya,ando,3,54,0.05555555555555555
Estoy,en,3,5,0.6
<s>,Voy,3,488,0.006147540983606557
También,te,3,5,0.6
llegue,a,3,3,1.0
increíble.,</s>,3,3,1.0
bien,que,3,23,0.13043478260869565
Muy,"bien,",3,7,0.42857142857142855
<s>,Ale,3,488,0.006147540983606557
aterricé,</s>,3,3,1.0
muy,bien,3,8,0.375
a,Mexico,3,72,0.041666666666666664
Está,en,2,3,0.6666666666666666
<s>,Dale,2,488,0.004098360655737705
onda,equipo?,2,3,0.6666666666666666
equipo?,</s>,2,2,1.0
la,interfaz,2,89,0.02247191011235955
hace,la,2,5,0.4
el,otro,2,59,0.03389830508474576
corrimos,a,2,2,1.0
misma,hora,2,3,0.6666666666666666
todos,los,2,2,1.0
<s>,Oh,2,488,0.004098360655737705
a,poder,2,72,0.027777777777777776
<s>,Le,2,488,0.004098360655737705
ahorita,</s>,2,4,0.5
por,eso,2,20,0.1
puse,en,2,2,1.0
que,no,2,97,0.020618556701030927
no,hay,2,25,0.08
y,yo,2,60,0.03333333333333333
el,jueves,2,59,0.03389830508474576
Gracias,Emily,2,6,0.3333333333333333
Rolón,</s>,2,2,1.0
<s>,Según,2,488,0.004098360655737705
se,genere,2,31,0.06451612903225806
no?,</s>,2,2,1.0
que,entiendo,2,97,0.020618556701030927
entiendo,es,2,2,1.0
el,pdf,2,59,0.03389830508474576
a,ser,2,72,0.027777777777777776
gracias,Rolon,2,11,0.18181818181818182
Rolon,</s>,2,2,1.0
verifiquen,que,2,2,1.0
<s>,Saludos,2,488,0.004098360655737705
Saludos,</s>,2,2,1.0
me,mando,2,19,0.10526315789473684
mando,el,2,2,1.0
con,las,2,23,0.08695652173913043
mismas,noticias,2,4,0.5
de,prueba,2,74,0.02702702702702703
hasta,la,2,4,0.5
que,son,2,97,0.020618556701030927
<s>,Oigan,2,488,0.004098360655737705
Oigan,y,2,2,1.0
todas,las,2,2,1.0
3,de,2,6,0.3333333333333333
*,3,2,2,1.0
es,un,2,25,0.08
y,ya,2,60,0.03333333333333333
Va,gracias,2,6,0.3333333333333333
gracias,Emily,2,11,0.18181818181818182
Va,muchas,2,6,0.3333333333333333
<s>,#,2,488,0.004098360655737705
<s>,Creo,2,488,0.004098360655737705
Muchas,gracias,2,4,0.5
<s>,Vamos,2,488,0.004098360655737705
las,pruebas,2,40,0.05
las,10,2,40,0.05
mañana,no,2,6,0.3333333333333333
se,va,2,31,0.06451612903225806
la,evidencia,2,89,0.02247191011235955
el,codigo,2,59,0.03389830508474576
si,es,2,15,0.13333333333333333
pero,ya,2,13,0.15384615384615385
eso,ya,2,7,0.2857142857142857
<s>,Porque,2,488,0.004098360655737705
que,sea,2,97,0.020618556701030927
para,hacer,2,28,0.07142857142857142
los,reportes,2,24,0.08333333333333333
y,también,2,60,0.03333333333333333
que,nos,2,97,0.020618556701030927
<s>,Cómo,2,488,0.004098360655737705
Cómo,está?,2,2,1.0
está?,</s>,2,2,1.0
Aquí,estamos,2,4,0.5
de,su,2,74,0.02702702702702703
con,usted,2,23,0.08695652173913043
servicio,social,2,2,1.0
usted?,</s>,2,2,1.0
En,su,2,5,0.4
Ok,</s>,2,5,0.4
muchas,"gracias,",2,10,0.2
sobre,la,2,4,0.5
no,he,2,25,0.08
quiere,que,2,6,0.3333333333333333
están,en,2,7,0.2857142857142857
en,las,2,61,0.03278688524590164
que,le,2,97,0.020618556701030927
parece?,</s>,2,2,1.0
sus,comentarios.,2,4,0.5
comentarios.,</s>,2,2,1.0
Va,a,2,6,0.3333333333333333
atento.,</s>,2,2,1.0
la,primera,2,89,0.02247191011235955
presentación,y,2,5,0.4
Quedo,atento,2,3,0.6666666666666666
"Ok,",maestro.,2,8,0.25
"Hola,",maestro.,2,7,0.2857142857142857
modificaciones.,</s>,2,2,1.0
"No,",no,2,15,0.13333333333333333
<s>,Buena,2,488,0.004098360655737705
a,estar,2,72,0.027777777777777776
estar,en,2,3,0.6666666666666666
"Oh,","ok,",2,3,0.6666666666666666
para,la,2,28,0.07142857142857142
firma,del,2,3,0.6666666666666666
del,reporte,2,11,0.18181818181818182
reporte,de,2,4,0.5
<s>,"Buenas,",2,488,0.004098360655737705
"Buenas,","maestro,",2,2,1.0
está,en,2,6,0.3333333333333333
<s>,Feliz,2,488,0.004098360655737705
Feliz,Año,2,2,1.0
esta,semana,2,6,0.3333333333333333
firmar,el,2,2,1.0
el,reporte,2,59,0.03389830508474576
SS?,</s>,2,2,1.0
"Gracias,",maestro.,2,5,0.4
<s>,La,2,488,0.004098360655737705
<s>,"Uy,",2,488,0.004098360655737705
lo,tengo,2,31,0.06451612903225806
se,llama,2,31,0.06451612903225806
Igual,ya,2,3,0.6666666666666666
el,curso,2,59,0.03389830508474576
<s>,Mañana,2,488,0.004098360655737705
10,en,2,4,0.5
cubículo,para,2,4,0.5
para,firma,2,28,0.07142857142857142
reporte,mensual?,2,4,0.5
mensual?,</s>,2,2,1.0
el,código,2,59,0.03389830508474576
<s>,Hoy,2,488,0.004098360655737705
yo,creo,2,8,0.25
ver,en,2,6,0.3333333333333333
realizo,</s>,2,3,0.6666666666666666
poco,de,2,2,1.0
médico.,</s>,2,2,1.0
las,presentaciones,2,40,0.05
los,códigos,2,24,0.08333333333333333
de,seguimiento,2,74,0.02702702702702703
<s>,Nos,2,488,0.004098360655737705
eso,</s>,2,7,0.2857142857142857
<s>,Claro,2,488,0.004098360655737705
<s>,"Igual,",2,488,0.004098360655737705
por,favor?,2,20,0.1
favor?,</s>,2,2,1.0
<s>,El,2,488,0.004098360655737705
a,su,2,72,0.027777777777777776
<s>,Muchas,2,488,0.004098360655737705
<s>,Hola,2,488,0.004098360655737705
Hola,maestro,2,2,1.0
ya,tengo,2,25,0.08
ahí.,</s>,2,2,1.0
<s>,Ahorita,2,488,0.004098360655737705
esperar,que,2,2,1.0
que,todo,2,97,0.020618556701030927
está,bien,2,6,0.3333333333333333
Ya,lo,2,54,0.037037037037037035
semestre,y,2,8,0.25
el,siguiente,2,59,0.03389830508474576
sólo,una,2,6,0.3333333333333333
una,exhibición,2,9,0.2222222222222222
acá.,</s>,2,2,1.0
estuvo,el,2,2,1.0
familia.,</s>,2,2,1.0
de,año?,2,74,0.02702702702702703
año?,</s>,2,2,1.0
yendo,a,2,2,1.0
trabajando,en,2,3,0.6666666666666666
la,hayan,2,89,0.02247191011235955
hayan,pasado,2,2,1.0
pasado,bien.,2,2,1.0
ando,en,2,6,0.3333333333333333
el,hotel.,2,59,0.03389830508474576
Se,supone,2,5,0.4
están?,</s>,2,2,1.0
un,buen,2,17,0.11764705882352941
hermano.,</s>,2,2,1.0
la,han,2,89,0.02247191011235955
han,pasado?,2,3,0.6666666666666666
pasado?,</s>,2,2,1.0
Voy,a,2,3,0.6666666666666666
"No,",ma.,2,15,0.13333333333333333
jajaja.,</s>,2,2,1.0
<s>,Hay,2,488,0.004098360655737705
chido.,</s>,2,2,1.0
"Jajaja,",que,2,15,0.13333333333333333
la,estén,2,89,0.02247191011235955
estén,pasando,2,2,1.0
pasando,increíble.,2,4,0.5
<s>,Ando,2,488,0.004098360655737705
no,te,2,25,0.08
muy,bien.,2,8,0.25
Como,se,2,9,0.2222222222222222
la,están,2,89,0.02247191011235955
<s>,"Va,",2,488,0.004098360655737705
<s>,"Ma,",2,488,0.004098360655737705
"Jajaja,",esta,2,15,0.13333333333333333
Muy,bien,2,7,0.2857142857142857
mamá,</s>,2,3,0.6666666666666666
problema,</s>,2,6,0.3333333333333333
Ya,aterricé,2,54,0.037037037037037035
camino,a,2,4,0.5
el,avión,2,59,0.03389830508474576
avión,</s>,2,3,0.6666666666666666
la,puerta,2,89,0.02247191011235955
despegar,</s>,2,2,1.0
casa,</s>,2,3,0.6666666666666666
Si,</s>,2,11,0.18181818181818182
a,casa,2,72,0.027777777777777776
bien,Ale,2,23,0.08695652173913043
chido,</s>,2,4,0.5
Ya,llegue,2,54,0.037037037037037035
<s>,Uff,2,488,0.004098360655737705
viaje,</s>,2,2,1.0
se,ve,2,31,0.06451612903225806
gracias,Ale,2,11,0.18181818181818182
el,vuelo,2,59,0.03389830508474576
vuelo,a,2,5,0.4
vuelo,y,2,5,0.4
de,Servicio.zip,1,74,0.013513513513513514
Servicio.zip,que,1,1,1.0
profe,puso,1,6,0.16666666666666666
la,tarea,1,89,0.011235955056179775
tarea,hasta,1,1,1.0
hasta,abajo,1,4,0.25
abajo,</s>,1,1,1.0
Dale,es,1,2,0.5
es,compa,1,25,0.04
compa,</s>,1,1,1.0
Que,onda,1,20,0.05
En,este,1,5,0.2
este,codigo,1,7,0.14285714285714285
codigo,ya,1,3,0.3333333333333333
ya,esta,1,25,0.04
esta,la,1,6,0.16666666666666666
interfaz,y,1,2,0.5
el,esqueleto,1,59,0.01694915254237288
esqueleto,para,1,1,1.0
para,vectorizar,1,28,0.03571428571428571
vectorizar,y,1,1,1.0
y,"comparar,",1,60,0.016666666666666666
"comparar,",les,1,1,1.0
les,parece,1,6,0.16666666666666666
parece,si,1,3,0.3333333333333333
si,uno,1,15,0.06666666666666667
uno,hace,1,1,1.0
la,vectorización,1,89,0.011235955056179775
vectorización,y,1,1,1.0
otro,la,1,4,0.25
la,comparación?,1,89,0.011235955056179775
comparación?,</s>,1,1,1.0
"No,",dijo,1,15,0.06666666666666667
dijo,que,1,3,0.3333333333333333
que,usáramos,1,97,0.010309278350515464
usáramos,sólo,1,1,1.0
sólo,"uno,",1,6,0.16666666666666666
"uno,",al,1,1,1.0
al,final,1,14,0.07142857142857142
final,los,1,2,0.5
los,tres,1,24,0.041666666666666664
tres,deberían,1,1,1.0
deberían,ser,1,1,1.0
ser,iguales,1,3,0.3333333333333333
iguales,porque,1,1,1.0
porque,los,1,6,0.16666666666666666
los,corrimos,1,24,0.041666666666666664
hora,y,1,2,0.5
y,de,1,60,0.016666666666666666
la,mismas,1,89,0.011235955056179775
mismas,"página,",1,4,0.25
"página,",puedes,1,1,1.0
puedes,tomar,1,2,0.5
tomar,el,1,2,0.5
el,"mío,",1,59,0.01694915254237288
"mío,",lo,1,1,1.0
lo,corrí,1,31,0.03225806451612903
corrí,todos,1,1,1.0
los,días,1,24,0.041666666666666664
días,</s>,1,1,1.0
Oh,ok,1,2,0.5
ok,este,1,1,1.0
este,lunes,1,7,0.14285714285714285
lunes,no,1,2,0.5
no,voy,1,25,0.04
poder,"estar,",1,3,0.3333333333333333
"estar,",comentó,1,2,0.5
comentó,si,1,2,0.5
si,había,1,15,0.06666666666666667
había,problema,1,1,1.0
problema,con,1,6,0.16666666666666666
con,eso?,1,23,0.043478260869565216
eso?,</s>,1,1,1.0
Pero,no,1,6,0.16666666666666666
no,puedo,1,25,0.04
puedo,hacer,1,11,0.09090909090909091
hacer,"nada,",1,8,0.125
"nada,",tengo,1,1,1.0
tengo,un,1,11,0.09090909090909091
un,evento,1,17,0.058823529411764705
evento,agendado,1,1,1.0
agendado,desde,1,1,1.0
desde,hace,1,1,1.0
hace,semanas,1,5,0.2
semanas,</s>,1,2,0.5
Le,voy,1,2,0.5
a,mandar,1,72,0.013888888888888888
mandar,mensaje,1,1,1.0
mensaje,ahorita,1,1,1.0
Yo,supuse,1,6,0.16666666666666666
supuse,"eso,",1,1,1.0
"eso,",por,1,2,0.5
eso,puse,1,7,0.14285714285714285
interfaz,que,1,2,0.5
que,agarre,1,97,0.010309278350515464
agarre,un,1,1,1.0
un,txt,1,17,0.058823529411764705
txt,</s>,1,1,1.0
me,comentó,1,19,0.05263157894736842
comentó,el,1,2,0.5
profe,que,1,6,0.16666666666666666
hay,problema,1,4,0.25
problema,que,1,6,0.16666666666666666
la,muestren,1,89,0.011235955056179775
muestren,ustedes,1,1,1.0
ustedes,dos,1,3,0.3333333333333333
dos,y,1,2,0.5
yo,la,1,8,0.125
la,muestro,1,89,0.011235955056179775
muestro,el,1,1,1.0
jueves,</s>,1,2,0.5
<s>,Aun,1,488,0.0020491803278688526
Aun,así,1,1,1.0
así,voy,1,2,0.5
a,hacer,1,72,0.013888888888888888
hacer,el,1,8,0.125
el,esfuerzo,1,59,0.01694915254237288
esfuerzo,de,1,1,1.0
de,ir,1,74,0.013513513513513514
ir,el,1,4,0.25
el,lunes,1,59,0.01694915254237288
lunes,</s>,1,2,0.5
<s>,Uy,1,488,0.0020491803278688526
Uy,que,1,1,1.0
que,equipazo,1,97,0.010309278350515464
equipazo,</s>,1,1,1.0
Emily,y,1,5,0.2
y,Rolón,1,60,0.016666666666666666
Según,yo,1,2,0.5
yo,es,1,8,0.125
genere,en,1,2,0.5
un,"pdf,",1,17,0.058823529411764705
"pdf,",no?,1,1,1.0
Según,lo,1,2,0.5
genere,el,1,2,0.5
pdf,de,1,2,0.5
de,esta,1,74,0.013513513513513514
esta,"manera,",1,6,0.16666666666666666
"manera,",no?,1,1,1.0
<s>,Ahí,1,488,0.0020491803278688526
Ahí,si,1,1,1.0
si,ya,1,15,0.06666666666666667
ya,no,1,25,0.04
se,jajaja,1,31,0.03225806451612903
jajaja,Creo,1,2,0.5
lo,mejor,1,31,0.03225806451612903
mejor,va,1,2,0.5
ser,preguntarle,1,3,0.3333333333333333
preguntarle,al,1,1,1.0
al,prof,1,14,0.07142857142857142
prof,a,1,2,0.5
a,ver,1,72,0.013888888888888888
ver,cómo,1,6,0.16666666666666666
cómo,lo,1,2,0.5
lo,quiere,1,31,0.03225806451612903
quiere,específicamente,1,6,0.16666666666666666
específicamente,</s>,1,1,1.0
Te,quedo,1,4,0.25
quedo,"chido,",1,2,0.5
"chido,",gracias,1,3,0.3333333333333333
Lo,revisamos,1,3,0.3333333333333333
revisamos,en,1,1,1.0
el,"laboratorio,",1,59,0.01694915254237288
"laboratorio,",pero,1,1,1.0
pero,la,1,13,0.07692307692307693
la,idea,1,89,0.011235955056179775
idea,es,1,1,1.0
que,ustedes,1,97,0.010309278350515464
ustedes,revisen,1,3,0.3333333333333333
revisen,el,1,1,1.0
el,contenido,1,59,0.01694915254237288
contenido,de,1,1,1.0
las,noticias,1,40,0.025
noticias,recuperadas,1,4,0.25
recuperadas,y,1,1,1.0
y,verifiquen,1,60,0.016666666666666666
que,efectivamente,1,97,0.010309278350515464
efectivamente,se,1,1,1.0
se,comparten,1,31,0.03225806451612903
comparten,tokens.,1,1,1.0
tokens.,</s>,1,1,1.0
<s>,Esto,1,488,0.0020491803278688526
Esto,es,1,1,1.0
es,lo,1,25,0.04
el,"profe,",1,59,0.01694915254237288
"profe,",por,1,1,1.0
por,lo,1,20,0.05
es,hacer,1,25,0.04
hacer,lo,1,8,0.125
lo,mismo,1,31,0.03225806451612903
mismo,pero,1,3,0.3333333333333333
pero,con,1,13,0.07692307692307693
noticias,del,1,4,0.25
del,csv,1,11,0.09090909090909091
csv,</s>,1,3,0.3333333333333333
"No,",los,1,15,0.06666666666666667
los,3,1,24,0.041666666666666664
3,csv,1,6,0.16666666666666666
csv,son,1,3,0.3333333333333333
los,mismo,1,24,0.041666666666666664
mismo,"Emily,",1,3,0.3333333333333333
"Emily,",recuerda,1,1,1.0
recuerda,que,1,1,1.0
lo,corrimos,1,31,0.03225806451612903
hora,de,1,2,0.5
mismas,páginas,1,4,0.25
páginas,</s>,1,1,1.0
Es,comparar,1,3,0.3333333333333333
comparar,las,1,2,0.5
noticias,con,1,4,0.25
con,los,1,23,0.043478260869565216
los,vectorizadores,1,24,0.041666666666666664
vectorizadores,como,1,1,1.0
como,si,1,8,0.125
si,fueran,1,15,0.06666666666666667
fueran,los,1,1,1.0
los,documentos,1,24,0.041666666666666664
documentos,de,1,1,1.0
prueba,</s>,1,2,0.5
<s>,Por,1,488,0.0020491803278688526
Por,eso,1,1,1.0
eso,es,1,7,0.14285714285714285
es,documento,1,25,0.04
documento,de,1,2,0.5
prueba,1,1,2,0.5
1,",",1,6,0.16666666666666666
",","2,",1,1,1.0
"2,","3,",1,1,1.0
"3,","4,",1,1,1.0
"4,",…,1,1,1.0
…,hasta,1,1,1.0
la,256,1,89,0.011235955056179775
256,creo,1,1,1.0
son,las,1,9,0.1111111111111111
las,noticas,1,40,0.025
noticas,totales,1,1,1.0
totales,que,1,1,1.0
que,tenemos,1,97,0.010309278350515464
tenemos,</s>,1,4,0.25
y,saben,1,60,0.016666666666666666
saben,cuando,1,1,1.0
cuando,deben,1,4,0.25
deben,presentar,1,2,0.5
presentar,Yanelli,1,1,1.0
Yanelli,y,1,1,1.0
y,su,1,60,0.016666666666666666
su,"equipo,",1,17,0.058823529411764705
"equipo,",es,1,2,0.5
me,preguntó,1,19,0.05263157894736842
preguntó,</s>,1,1,1.0
En,terminos,1,5,0.2
terminos,"simples,",1,1,1.0
"simples,",al,1,1,1.0
al,picar,1,14,0.07142857142857142
picar,Generar,1,1,1.0
Generar,"Representaciones,",1,1,1.0
"Representaciones,",se,1,1,1.0
se,deben,1,31,0.03225806451612903
deben,generar,1,2,0.5
generar,todas,1,1,1.0
las,"vectorizaciones,",1,40,0.025
"vectorizaciones,",ej:,1,1,1.0
ej:,Unigrama,1,1,1.0
Unigrama,con,1,1,1.0
con,"TF-IDF,",1,23,0.043478260869565216
"TF-IDF,",con,1,1,1.0
con,Frecuencia,1,23,0.043478260869565216
Frecuencia,y,1,1,1.0
y,con,1,60,0.016666666666666666
con,Binaria,1,23,0.043478260869565216
Binaria,y,1,1,1.0
y,a,1,60,0.016666666666666666
la,vez,1,89,0.011235955056179775
vez,con,1,1,1.0
con,"Titulo,",1,23,0.043478260869565216
"Titulo,",Contenido,1,1,1.0
Contenido,y,1,1,1.0
y,Titulo,1,60,0.016666666666666666
Titulo,+,1,1,1.0
+,"Contendio,",1,1,1.0
"Contendio,",entonces,1,1,1.0
entonces,si,1,7,0.14285714285714285
si,tenemos,1,15,0.06666666666666667
tenemos,tenemos,1,4,0.25
tenemos,2,1,4,0.25
2,opciones,1,4,0.25
opciones,de,1,2,0.5
de,"Características,",1,74,0.013513513513513514
"Características,",3,1,1,1.0
de,Representación,1,74,0.013513513513513514
Representación,y,1,1,1.0
y,3,1,60,0.016666666666666666
de,Elemento,1,74,0.013513513513513514
Elemento,de,1,1,1.0
de,Comparación,1,74,0.013513513513513514
Comparación,te,1,1,1.0
te,da,1,7,0.14285714285714285
